application_id,gender,international,gpa,Major,race,gmat,work_exp,work_industry,admission_finals,scholarship_status,funding_fee,tuition_fee
1,Female,False,3.30,Business,Asian,620.0,3.0,"Financial Services",admitted,notsponsored,0,75000
2,Male,False,3.28,Humanities,Black,680.0,5.0,"Investment Management",admitted,notsponsored,0,75000
3,Female,True,3.30,Business,NULL,710.0,5.0,Technology,admitted,notsponsored,0,75000
4,Male,False,3.47,STEM,Black,690.0,6.0,Technology,admitted,notsponsored,0,75000
5,Male,False,3.35,STEM,Hispanic,590.0,5.0,Consulting,notadmitted,notsponsored,0,0
6,Male,False,3.18,Business,White,610.0,6.0,Consulting,admitted,notsponsored,0,75000
7,Female,False,2.93,STEM,Other,590.0,3.0,Technology,notadmitted,notsponsored,0,0
8,Male,True,3.02,Business,NULL,630.0,6.0,"Financial Services",admitted,notsponsored,0,75000
9,Male,False,3.24,Business,White,590.0,2.0,Nonprofit/Gov,notadmitted,notsponsored,0,0
10,Male,False,3.27,Humanities,Asian,690.0,3.0,Consulting,admitted,notsponsored,0,75000
11,Male,False,3.05,Humanities,White,580.0,5.0,Technology,notadmitted,notsponsored,0,0
12,Male,True,2.85,Humanities,NULL,580.0,4.0,PE/VC,notadmitted,notsponsored,0,0
13,Female,False,3.24,Humanities,Hispanic,640.0,6.0,PE/VC,admitted,notsponsored,0,75000
14,Female,False,3.39,Business,Black,690.0,4.0,Nonprofit/Gov,admitted,notsponsored,0,75000
15,Female,False,3.03,STEM,White,600.0,5.0,Technology,notadmitted,notsponsored,0,0
16,Female,True,3.05,Humanities,NULL,710.0,4.0,Consulting,admitted,notsponsored,0,75000
17,Female,False,3.32,Business,Asian,710.0,5.0,PE/VC,admitted,notsponsored,0,75000
18,Male,False,3.23,Humanities,Black,700.0,4.0,"Health Care",admitted,notsponsored,0,75000
19,Male,False,3.13,Humanities,White,630.0,6.0,"Financial Services",admitted,notsponsored,0,75000
20,Male,True,3.09,Business,NULL,670.0,8.0,Consulting,admitted,notsponsored,0,75000
21,Male,False,3.46,Business,White,760.0,5.0,"Investment Banking",admitted,notsponsored,0,75000
