application_id,gender,international,gpa,major,race,gmat,work_exp,work_industry,admission,
1,Female,FALSE,3.3,Business,Asian,620,3,Financial Services,Admit,Admit
2,Male,FALSE,3.28,Humanities,Black,680,5,Investment Management,,notadmitted
3,Female,TRUE,3.3,Business,,710,5,Technology,Admit,Admit
4,Male,FALSE,3.47,STEM,Black,690,6,Technology,,notadmitted
5,Male,FALSE,3.35,STEM,Hispanic,590,5,Consulting,,notadmitted
6,Male,FALSE,3.18,Business,White,610,6,Consulting,,notadmitted
7,Female,FALSE,2.93,STEM,Other,590,3,Technology,Admit,Admit
8,Male,TRUE,3.02,Business,,630,6,Financial Services,,notadmitted
9,Male,FALSE,3.24,Business,White,590,2,Nonprofit/Gov,,notadmitted
10,Male,FALSE,3.27,Humanities,Asian,690,3,Consulting,,notadmitted
11,Male,FALSE,3.05,Humanities,White,580,5,Technology,,notadmitted
12,Male,TRUE,2.85,Humanities,,580,4,PE/VC,,notadmitted
13,Female,FALSE,3.24,Humanities,Hispanic,640,6,PE/VC,Waitlist,waitlist
14,Female,FALSE,3.39,Business,Black,690,4,Nonprofit/Gov,,notadmitted
15,Female,FALSE,3.03,STEM,White,600,5,Technology,Admit,Admit
16,Female,TRUE,3.05,Humanities,,710,4,Consulting,Admit,Admit
17,Female,FALSE,3.32,Business,Asian,710,5,PE/VC,Admit,Admit
18,Male,FALSE,3.23,Humanities,Black,700,4,Health Care,,notadmitted
19,Male,FALSE,3.13,Humanities,White,630,6,Financial Services,,notadmitted
20,Male,TRUE,3.09,Business,,670,8,Consulting,,notadmitted
21,Male,FALSE,3.46,Business,White,760,5,Investment Banking,Admit,Admit
22,Female,FALSE,3.64,Humanities,Black,710,6,Financial Services,,notadmitted
23,Female,TRUE,3.42,Business,,640,6,Consulting,Admit,Admit
24,Male,FALSE,3.4,Business,White,680,6,PE/VC,,notadmitted
25,Female,FALSE,3.47,STEM,White,710,5,Consulting,Admit,Admit
26,Male,FALSE,3.26,Humanities,Asian,690,5,Technology,Admit,Admit
27,Male,TRUE,2.99,STEM,,640,5,Consulting,,notadmitted
28,Male,FALSE,3.39,STEM,Other,730,4,Other,,notadmitted
29,Male,FALSE,3.08,Business,Asian,570,7,Retail,,notadmitted
30,Male,TRUE,3.65,STEM,,700,5,Consulting,Admit,Admit
31,Male,TRUE,3.04,STEM,,610,4,Consulting,,notadmitted
32,Male,FALSE,3.19,Humanities,White,580,5,PE/VC,,notadmitted
33,Male,FALSE,3.33,Humanities,Black,700,6,Investment Banking,,notadmitted
34,Female,FALSE,3.53,STEM,White,710,5,Consulting,Admit,Admit
35,Male,FALSE,3.5,Business,White,650,7,Consulting,,notadmitted
36,Male,TRUE,3.22,Humanities,,670,4,Other,,notadmitted
37,Male,FALSE,3.5,STEM,Hispanic,720,5,Health Care,,notadmitted
38,Female,FALSE,3.16,STEM,Black,590,4,Investment Management,,notadmitted
39,Female,FALSE,3.3,Humanities,Asian,740,6,Investment Banking,Admit,Admit
40,Female,FALSE,3.45,Humanities,Asian,640,3,PE/VC,Admit,Admit
41,Female,TRUE,3.12,Business,,610,4,PE/VC,Admit,Admit
42,Female,TRUE,3.41,Business,,600,7,Nonprofit/Gov,Admit,Admit
43,Male,FALSE,3.38,Humanities,Asian,720,5,Consulting,,notadmitted
44,Female,FALSE,2.93,Humanities,Other,590,4,Consulting,Admit,Admit
45,Male,FALSE,3.27,STEM,Other,650,5,Consulting,,notadmitted
46,Male,FALSE,3.32,STEM,Asian,730,4,Health Care,,notadmitted
47,Male,TRUE,3.13,Humanities,,610,5,PE/VC,,notadmitted
48,Male,FALSE,3.33,STEM,Hispanic,720,7,Consulting,Admit,Admit
49,Male,FALSE,3.23,STEM,Black,660,6,Other,,notadmitted
